"","X","SubjectID","ExperimentName","Session","Age","Handedness","Sex","CRESP","List2","PairCode","Sound1","Sound2","PWType","WordType","zMFCC","Condition","RESP","Trial","RT","ACC","SyllPos","TrialType","c_Trial"
"101",101,"Base_Test1_205","Test1",1,20,"right","female","5","40","PW vs In FW","tudoti.wav","kupado.wav",1,4,1.07074586855259,"Familiar",5,45,1724,1,"Initial","PW vs FW",16.4190445448677
"102",102,"Base_Test1_205","Test1",1,20,"right","female","5","48","PW vs Med FW","padati.wav","ropado.wav",1,4,-1.38984163125101,"Familiar",5,46,1484,1,"Medial","PW vs FW",17.4190445448677
"103",103,"Base_Test1_205","Test1",1,20,"right","female","5","54","PW vs Fin FW","bidabu.wav","robida.wav",1,2,-1.34526988854491,"Familiar",1,47,1032,0,"Final","PW vs FW",18.4190445448677
"104",104,"Base_Test1_205","Test1",1,20,"right","female","1","33","PW vs In FW","labubi.wav","tulabu.wav",2,1,-0.275458580478951,"Familiar",5,48,1389,0,"Initial","PW vs FW",19.4190445448677
"105",105,"Base_Test1_205","Test1",1,20,"right","female","1","5","Word vs PW","golabu.wav","rogola.wav",1,1,NA,"Familiar",1,49,1053,1,NA,"Word vs PW",20.4190445448677
"106",106,"Base_Test1_205","Test1",1,20,"right","female","5","45","PW vs Med FW","godabu.wav","kugola.wav",1,1,-1.60739314711274,"Familiar",1,50,1174,0,"Medial","PW vs FW",21.4190445448677
"107",107,"Base_Test1_205","Test1",1,20,"right","female","5","9","Word vs In FW","tulabu.wav","golabu.wav",NA,1,-0.275458580478951,"Familiar",5,51,2004,1,"Initial","Word vs FW",22.4190445448677
"108",108,"Base_Test1_205","Test1",1,20,"right","female","5","46","PW vs Med FW","bipiku.wav","robida.wav",1,2,1.14212436080289,"Familiar",1,52,960,0,"Medial","PW vs FW",23.4190445448677
"109",109,"Base_Test1_205","Test1",1,20,"right","female","5","37","PW vs In FW","bilabu.wav","rogola.wav",1,1,0.781961875630439,"Familiar",1,53,1712,0,"Initial","PW vs FW",24.4190445448677
"110",110,"Base_Test1_205","Test1",1,20,"right","female","5","17","Word vs Med FW","gopibu.wav","golabu.wav",NA,1,1.10108532403706,"Familiar",1,54,1111,0,"Medial","Word vs FW",25.4190445448677
"111",111,"Base_Test1_205","Test1",1,20,"right","female","1","52","PW vs Fin FW","dotigo.wav","padobu.wav",2,4,0.296611514613159,"Familiar",5,55,1137,0,"Final","PW vs FW",26.4190445448677
"112",112,"Base_Test1_205","Test1",1,20,"right","female","5","19","Word vs Med FW","tularo.wav","tupiro.wav",NA,3,1.10108532403706,"Familiar",5,56,1221,1,"Medial","Word vs FW",27.4190445448677
"113",113,"Base_Test1_206","Test1",2,19,"right","female","5","18","Word vs Med FW","bilaku.wav","bidaku.wav",NA,2,-1.60739314711274,"Familiar",1,1,4509,0,"Medial","Word vs FW",-27.5809554551323
"114",114,"Base_Test1_206","Test1",2,19,"right","female","5","53","PW vs Fin FW","golaku.wav","kugola.wav",1,1,-1.34526988854491,"Familiar",1,2,3610,0,"Final","PW vs FW",-26.5809554551323
"115",115,"Base_Test1_206","Test1",2,19,"right","female","5","1","Word vs PW","labubi.wav","golabu.wav",2,1,NA,"Familiar",5,3,2657,1,NA,"Word vs PW",-25.5809554551323
"116",116,"Base_Test1_206","Test1",2,19,"right","female","1","32","Word vs Fin FW","padoti.wav","padoro.wav",NA,4,1.35174727276499,"Familiar",1,4,1765,1,"Final","Word vs FW",-24.5809554551323
"117",117,"Base_Test1_206","Test1",2,19,"right","female","5","17","Word vs Med FW","gopibu.wav","golabu.wav",NA,1,1.10108532403706,"Familiar",1,5,2653,0,"Medial","Word vs FW",-23.5809554551323
"118",118,"Base_Test1_206","Test1",2,19,"right","female","5","47","PW vs Med FW","tudoro.wav","butupi.wav",1,3,0.291753243007115,"Familiar",1,6,2193,0,"Medial","PW vs FW",-22.5809554551323
"119",119,"Base_Test1_206","Test1",2,19,"right","female","1","49","PW vs Fin FW","labupa.wav","golati.wav",2,1,0.296611514613159,"Familiar",5,7,2780,0,"Final","PW vs FW",-21.5809554551323
"120",120,"Base_Test1_206","Test1",2,19,"right","female","1","16","Word vs In FW","padoti.wav","tudoti.wav",NA,4,1.07074586855259,"Familiar",1,8,2206,1,"Initial","Word vs FW",-20.5809554551323
"121",121,"Base_Test1_206","Test1",2,19,"right","female","5","4","Word vs PW","dotitu.wav","padoti.wav",2,4,NA,"Familiar",1,9,1097,0,NA,"Word vs PW",-19.5809554551323
"122",122,"Base_Test1_206","Test1",2,19,"right","female","1","22","Word vs Med FW","bidaku.wav","bipiku.wav",NA,2,1.14212436080289,"Familiar",1,10,881,1,"Medial","Word vs FW",-18.5809554551323
"123",123,"Base_Test1_206","Test1",2,19,"right","female","5","11","Word vs In FW","gopiro.wav","tupiro.wav",NA,3,-0.275458580478951,"Familiar",5,11,918,1,"Initial","Word vs FW",-17.5809554551323
"124",124,"Base_Test1_206","Test1",2,19,"right","female","5","39","PW vs In FW","papiro.wav","titupi.wav",1,3,1.07074586855259,"Familiar",5,12,2168,1,"Initial","PW vs FW",-16.5809554551323
"125",125,"Base_Test1_206","Test1",2,19,"right","female","5","56","PW vs Fin FW","padoro.wav","ropado.wav",1,4,1.35174727276499,"Familiar",5,13,1300,1,"Final","PW vs FW",-15.5809554551323
"126",126,"Base_Test1_206","Test1",2,19,"right","female","1","30","Word vs Fin FW","bidaku.wav","bidabu.wav",NA,2,-1.34526988854491,"Familiar",1,14,1421,1,"Final","Word vs FW",-14.5809554551323
"127",127,"Base_Test1_206","Test1",2,19,"right","female","5","48","PW vs Med FW","padati.wav","ropado.wav",1,4,-1.38984163125101,"Familiar",5,15,846,1,"Medial","PW vs FW",-13.5809554551323
"128",128,"Base_Test1_206","Test1",2,19,"right","female","1","34","PW vs In FW","dakugo.wav","godaku.wav",2,2,0.781961875630439,"Familiar",1,16,922,1,"Initial","PW vs FW",-12.5809554551323
"129",129,"Base_Test1_206","Test1",2,19,"right","female","5","38","PW vs In FW","tudaku.wav","bubida.wav",1,2,-0.266109272601177,"Familiar",1,17,1714,0,"Initial","PW vs FW",-11.5809554551323
"130",130,"Base_Test1_206","Test1",2,19,"right","female","5","10","Word vs In FW","godaku.wav","bidaku.wav",NA,2,0.781961875630439,"Familiar",1,18,1030,0,"Initial","Word vs FW",-10.5809554551323
