"","X","SubjectID","ExperimentName","Session","Age","Handedness","Sex","CRESP","List2","PairCode","Sound1","Sound2","PWType","WordType","zMFCC","Condition","RESP","Trial","RT","ACC","SyllPos","TrialType","c_Trial"
"87",9384,"Base_SNL_1209","SNL",1,29,"left","female","5","2","Word vs PW","dakugo.wav","bidaku.wav",2,2,NA,"Assimilable",1,51,1195,0,NA,"Word vs PW",22.4190445448677
"88",9385,"Base_SNL_1210","SNL",2,32,"right","female","1","7","Word vs PW","tupiro.wav","titupi.wav",1,3,NA,"Assimilable",1,22,1822,1,NA,"Word vs PW",-6.58095545513234
"89",9386,"Base_SNL_1210","SNL",2,32,"right","female","1","8","Word vs PW","padoti.wav","kupado.wav",1,4,NA,"Assimilable",1,28,2209,1,NA,"Word vs PW",-0.580955455132344
"90",9387,"Base_SNL_1210","SNL",2,32,"right","female","1","5","Word vs PW","golabu.wav","rogola.wav",1,1,NA,"Assimilable",1,29,2122,1,NA,"Word vs PW",0.419044544867656
"91",9388,"Base_SNL_1210","SNL",2,32,"right","female","5","1","Word vs PW","labubi.wav","golabu.wav",2,1,NA,"Assimilable",5,31,3235,1,NA,"Word vs PW",2.41904454486766
"92",9389,"Base_SNL_1210","SNL",2,32,"right","female","5","4","Word vs PW","dotitu.wav","padoti.wav",2,4,NA,"Assimilable",5,34,1928,1,NA,"Word vs PW",5.41904454486766
"93",9390,"Base_SNL_1210","SNL",2,32,"right","female","5","2","Word vs PW","dakugo.wav","bidaku.wav",2,2,NA,"Assimilable",5,35,1465,1,NA,"Word vs PW",6.41904454486766
"94",9391,"Base_SNL_1210","SNL",2,32,"right","female","1","6","Word vs PW","bidaku.wav","bubida.wav",1,2,NA,"Assimilable",1,43,2716,1,NA,"Word vs PW",14.4190445448677
"95",9392,"Base_SNL_1210","SNL",2,32,"right","female","5","3","Word vs PW","piropa.wav","tupiro.wav",2,3,NA,"Assimilable",1,56,2306,0,NA,"Word vs PW",27.4190445448677
"96",9393,"Base_SNL_1212","SNL",2,18,"right","female","5","4","Word vs PW","dotitu.wav","padoti.wav",2,4,NA,"Assimilable",5,2,1158,1,NA,"Word vs PW",-26.5809554551323
"97",9394,"Base_SNL_1212","SNL",2,18,"right","female","1","7","Word vs PW","tupiro.wav","titupi.wav",1,3,NA,"Assimilable",1,12,1522,1,NA,"Word vs PW",-16.5809554551323
"98",9395,"Base_SNL_1212","SNL",2,18,"right","female","1","8","Word vs PW","padoti.wav","kupado.wav",1,4,NA,"Assimilable",1,16,1088,1,NA,"Word vs PW",-12.5809554551323
"99",9396,"Base_SNL_1212","SNL",2,18,"right","female","5","3","Word vs PW","piropa.wav","tupiro.wav",2,3,NA,"Assimilable",5,19,1112,1,NA,"Word vs PW",-9.58095545513234
"100",9397,"Base_SNL_1212","SNL",2,18,"right","female","5","1","Word vs PW","labubi.wav","golabu.wav",2,1,NA,"Assimilable",5,22,1483,1,NA,"Word vs PW",-6.58095545513234
"101",9398,"Base_SNL_1212","SNL",2,18,"right","female","5","2","Word vs PW","dakugo.wav","bidaku.wav",2,2,NA,"Assimilable",5,28,1324,1,NA,"Word vs PW",-0.580955455132344
"102",9399,"Base_SNL_1212","SNL",2,18,"right","female","1","5","Word vs PW","golabu.wav","rogola.wav",1,1,NA,"Assimilable",5,40,1394,0,NA,"Word vs PW",11.4190445448677
"103",9400,"Base_SNL_1212","SNL",2,18,"right","female","1","6","Word vs PW","bidaku.wav","bubida.wav",1,2,NA,"Assimilable",1,42,1585,1,NA,"Word vs PW",13.4190445448677
"104",9401,"Base_SNL_1213","SNL",1,18,"right","male","1","7","Word vs PW","tupiro.wav","titupi.wav",1,3,NA,"Assimilable",1,2,1933,1,NA,"Word vs PW",-26.5809554551323
"105",9402,"Base_SNL_1213","SNL",1,18,"right","male","5","1","Word vs PW","labubi.wav","golabu.wav",2,1,NA,"Assimilable",1,17,1309,0,NA,"Word vs PW",-11.5809554551323
"106",9403,"Base_SNL_1213","SNL",1,18,"right","male","1","5","Word vs PW","golabu.wav","rogola.wav",1,1,NA,"Assimilable",1,20,1864,1,NA,"Word vs PW",-8.58095545513234
"107",9404,"Base_SNL_1213","SNL",1,18,"right","male","1","6","Word vs PW","bidaku.wav","bubida.wav",1,2,NA,"Assimilable",1,29,1425,1,NA,"Word vs PW",0.419044544867656
"108",9405,"Base_SNL_1213","SNL",1,18,"right","male","5","3","Word vs PW","piropa.wav","tupiro.wav",2,3,NA,"Assimilable",1,32,2293,0,NA,"Word vs PW",3.41904454486766
"109",9406,"Base_SNL_1213","SNL",1,18,"right","male","5","2","Word vs PW","dakugo.wav","bidaku.wav",2,2,NA,"Assimilable",1,42,1292,0,NA,"Word vs PW",13.4190445448677
"110",9407,"Base_SNL_1213","SNL",1,18,"right","male","5","4","Word vs PW","dotitu.wav","padoti.wav",2,4,NA,"Assimilable",1,47,1418,0,NA,"Word vs PW",18.4190445448677
"111",9408,"Base_SNL_1213","SNL",1,18,"right","male","1","8","Word vs PW","padoti.wav","kupado.wav",1,4,NA,"Assimilable",1,55,1607,1,NA,"Word vs PW",26.4190445448677
"112",9409,"Base_SNL_1214","SNL",2,18,"left","female","1","8","Word vs PW","padoti.wav","kupado.wav",1,4,NA,"Assimilable",1,12,1303,1,NA,"Word vs PW",-16.5809554551323
"113",9410,"Base_SNL_1214","SNL",2,18,"left","female","5","2","Word vs PW","dakugo.wav","bidaku.wav",2,2,NA,"Assimilable",5,16,1016,1,NA,"Word vs PW",-12.5809554551323
"114",9411,"Base_SNL_1214","SNL",2,18,"left","female","5","4","Word vs PW","dotitu.wav","padoti.wav",2,4,NA,"Assimilable",1,18,1526,0,NA,"Word vs PW",-10.5809554551323
"115",9412,"Base_SNL_1214","SNL",2,18,"left","female","1","6","Word vs PW","bidaku.wav","bubida.wav",1,2,NA,"Assimilable",1,23,1512,1,NA,"Word vs PW",-5.58095545513234
"116",9413,"Base_SNL_1214","SNL",2,18,"left","female","5","1","Word vs PW","labubi.wav","golabu.wav",2,1,NA,"Assimilable",1,24,2111,0,NA,"Word vs PW",-4.58095545513234
"117",9414,"Base_SNL_1214","SNL",2,18,"left","female","5","3","Word vs PW","piropa.wav","tupiro.wav",2,3,NA,"Assimilable",5,31,2007,1,NA,"Word vs PW",2.41904454486766
"118",9415,"Base_SNL_1214","SNL",2,18,"left","female","1","5","Word vs PW","golabu.wav","rogola.wav",1,1,NA,"Assimilable",5,34,2451,0,NA,"Word vs PW",5.41904454486766
"119",9416,"Base_SNL_1214","SNL",2,18,"left","female","1","7","Word vs PW","tupiro.wav","titupi.wav",1,3,NA,"Assimilable",5,40,1798,0,NA,"Word vs PW",11.4190445448677
"120",9417,"Base_SNL_1215","SNL",1,30,"right","male","5","2","Word vs PW","dakugo.wav","bidaku.wav",2,2,NA,"Assimilable",1,4,1637,0,NA,"Word vs PW",-24.5809554551323
"121",9418,"Base_SNL_1215","SNL",1,30,"right","male","1","5","Word vs PW","golabu.wav","rogola.wav",1,1,NA,"Assimilable",1,9,1531,1,NA,"Word vs PW",-19.5809554551323
"122",9419,"Base_SNL_1215","SNL",1,30,"right","male","5","4","Word vs PW","dotitu.wav","padoti.wav",2,4,NA,"Assimilable",5,17,1625,1,NA,"Word vs PW",-11.5809554551323
"123",9420,"Base_SNL_1215","SNL",1,30,"right","male","5","1","Word vs PW","labubi.wav","golabu.wav",2,1,NA,"Assimilable",5,22,2304,1,NA,"Word vs PW",-6.58095545513234
"124",9421,"Base_SNL_1215","SNL",1,30,"right","male","1","7","Word vs PW","tupiro.wav","titupi.wav",1,3,NA,"Assimilable",5,35,1851,0,NA,"Word vs PW",6.41904454486766
"125",9422,"Base_SNL_1215","SNL",1,30,"right","male","1","8","Word vs PW","padoti.wav","kupado.wav",1,4,NA,"Assimilable",5,36,1698,0,NA,"Word vs PW",7.41904454486766
"126",9423,"Base_SNL_1215","SNL",1,30,"right","male","1","6","Word vs PW","bidaku.wav","bubida.wav",1,2,NA,"Assimilable",1,41,2071,1,NA,"Word vs PW",12.4190445448677
"127",9424,"Base_SNL_1215","SNL",1,30,"right","male","5","3","Word vs PW","piropa.wav","tupiro.wav",2,3,NA,"Assimilable",1,49,1465,0,NA,"Word vs PW",20.4190445448677
"128",9425,"Base_SNL_1216","SNL",2,18,"right","female","5","3","Word vs PW","piropa.wav","tupiro.wav",2,3,NA,"Assimilable",5,12,1409,1,NA,"Word vs PW",-16.5809554551323
"129",9426,"Base_SNL_1216","SNL",2,18,"right","female","1","8","Word vs PW","padoti.wav","kupado.wav",1,4,NA,"Assimilable",1,15,2465,1,NA,"Word vs PW",-13.5809554551323
"130",9427,"Base_SNL_1216","SNL",2,18,"right","female","1","6","Word vs PW","bidaku.wav","bubida.wav",1,2,NA,"Assimilable",5,27,2468,0,NA,"Word vs PW",-1.58095545513234
"131",9428,"Base_SNL_1216","SNL",2,18,"right","female","1","7","Word vs PW","tupiro.wav","titupi.wav",1,3,NA,"Assimilable",1,29,1087,1,NA,"Word vs PW",0.419044544867656
"132",9429,"Base_SNL_1216","SNL",2,18,"right","female","1","5","Word vs PW","golabu.wav","rogola.wav",1,1,NA,"Assimilable",5,36,1208,0,NA,"Word vs PW",7.41904454486766
"133",9430,"Base_SNL_1216","SNL",2,18,"right","female","5","2","Word vs PW","dakugo.wav","bidaku.wav",2,2,NA,"Assimilable",1,37,1572,0,NA,"Word vs PW",8.41904454486766
"134",9431,"Base_SNL_1216","SNL",2,18,"right","female","5","1","Word vs PW","labubi.wav","golabu.wav",2,1,NA,"Assimilable",5,44,1197,1,NA,"Word vs PW",15.4190445448677
"135",9432,"Base_SNL_1216","SNL",2,18,"right","female","5","4","Word vs PW","dotitu.wav","padoti.wav",2,4,NA,"Assimilable",5,54,1465,1,NA,"Word vs PW",25.4190445448677
"136",9433,"Base_SNL_1217","SNL",1,18,"right","female","5","4","Word vs PW","dotitu.wav","padoti.wav",2,4,NA,"Assimilable",5,11,1617,1,NA,"Word vs PW",-17.5809554551323
